X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-82.428195,28.0682430000001,23339,"TAMPA, FL",2627,WM Supercenter,Retail,true,2701 E FLETCHER AVE,TAMPA,HILLSBOROUGH,FL,33612-9414,5,Open,,Y,Y,2627,No,,Yes,
-84.5310729999999,37.979363,23340,"LEXINGTON, KY",2628,WM Supercenter,Retail,true,4051 NICHOLASVILLE RD,LEXINGTON,FAYETTE,KY,40503-4433,2,Open,,Y,Y,2628,No,Available,No,Available
-71.700101,42.1077070000001,23341,"NORTHBRIDGE, MA",2629,WM Supercenter,Retail,true,100 VALLEY PKWY,WHITINSVILLE,WORCESTER,MA,01588-1743,5,Open,,Y,Y,2629,No,Not Available,Yes,Not Available
-96.877692,33.216209,23342,FRISCO 423 AND 380 TX LND,263,WM Supercenter,Retail,true,TBA 263,FRISCO,DENTON,TX,75034-0000,0,Open,,,,263,,,,
-81.871807,31.615935,23343,"JESUP, GA",2630,WM Supercenter,Retail,true,1100 N 1ST ST,JESUP,WAYNE,GA,31545-0046,2,Open,,Y,Y,2630,No,,Yes,
-83.3367049999999,42.3665070000001,23344,"LIVONIA, MI",2631,WM Supercenter,Retail,true,29555 PLYMOUTH RD,LIVONIA,WAYNE,MI,48150-2125,5,Open,,Y,Y,2631,Yes,Available,Yes,Available
-112.072186,33.5664570000001,23345,PHOENIX SUNNYSLOPE AZ,2632,Neighborhood Market,Retail,true,115 E DUNLAP AVE,PHOENIX,MARICOPA,AZ,85020-2841,2,Open,,Y,Y,2632,No,,Yes,
-74.441268,40.554692,23346,"PISCATAWAY, NJ",2633,Wal-Mart,Retail,true,1303 CENTENNIAL AVE,PISCATAWAY,MIDDLESEX,NJ,08854-4321,2,Open,,Y,Y,2633,No,,Yes,
-71.1940509999999,44.4267090000001,23347,"GORHAM, NH",2634,WM Supercenter,Retail,true,561 MAIN ST,GORHAM,COOS,NH,03581-4901,5,Open,,Y,Y,2634,No,,Yes,Available
-117.985512,33.700181,23348,"HUNTINGTON BEACH,CA",2636,Wal-Mart,Retail,true,8230 TALBERT AVE,HUNTINGTON BEACH,ORANGE,CA,92646-1545,2,Open,,Y,Y,2636,No,,Yes,
-74.148409,41.316944,23349,"MONROE, NY",2637,WM Supercenter,Retail,true,288 LARKIN DR,MONROE,ORANGE,NY,10950-4911,2,Open,,Y,Y,2637,No,Available,Yes,Available
-82.711312,38.388444,23350,"ASHLAND, (S), KY",2638,WM Supercenter,Retail,true,12504 U.S. ROUTE 60,ASHLAND,BOYD,KY,41102-9687,2,Open,,Y,Y,2638,No,Available,No,Available
-71.438976,43.5668820000001,23351,"GILFORD, NH",2639,WM Supercenter,Retail,true,1458 LAKE SHORE RD,GILFORD,BELKNAP,NH,03249-2221,5,Open,,Y,Y,2639,Yes,Available,No,Available
-87.381204,36.0599930000001,23352,DICKSON TN,264,WM Supercenter,Retail,true,175 BEASLEY DR,DICKSON,DICKSON,TN,37055-2841,5,Open,,Y,Y,264,No,,Yes,Available
-70.935439,42.4943910000001,23353,"SALEM, MA",2640,Wal-Mart,Retail,true,450 HIGHLAND AVE,SALEM,ESSEX,MA,01970-1765,2,Open,,Y,Y,2640,Yes,Available,Yes,Available
-75.5787769999999,40.5538550000001,23354,"ALLENTOWN (SW), PA",2641,WM Supercenter,Retail,true,1091 MILLCREEK RD,ALLENTOWN,LEHIGH,PA,18106-9157,2,Open,,Y,Y,2641,Yes,Available,Yes,Available
-93.224698,44.7343760000001,23355,"APPLE VALLEY, MN",2642,WM Supercenter,Retail,true,7835 150TH ST W,APPLE VALLEY,DAKOTA,MN,55124-7181,5,Open,,Y,Y,2642,Yes,Available,Yes,Available
-92.896828,44.946374,23356,WOODBURY MN,2643,WM Supercenter,Retail,true,10240 HUDSON RD,WOODBURY,WASHINGTON,MN,55129-9111,2,Open,,Y,Y,2643,No,Available,Yes,Available
